cname,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,,IS,LI,NO,CH,Total
BE,0,"2,059",534,116,"16,482",11,339,94,"4,869","37,210",583,"3,774",0,120,793,"20,048","2,787",3,"12,850",762,"25,084","10,048","6,267","6,393","5,143",76,111,,,,,,,"156,556"
BG,42,0,130,7,904,0,3,123,287,435,49,365,0,,0,56,29,0,39,97,282,10,260,79,87,12,29,,,,,,,"3,325"
CZ,399,26,0,12,"3,693",7,4,1,816,"1,834",165,291,0,2,2,90,356,0,44,771,"2,521",31,131,342,"7,556",36,14,,,,,,,"19,144"
DK,408,137,61,91,"5,045",16,68,48,675,"1,106",178,837,0,55,197,74,450,0,247,192,"2,255",188,222,258,352,68,117,,,7,,,,"13,352"
DE,"6,338","7,368","3,445",471,0,357,371,"1,471","11,881","17,330","22,114","8,071",8,550,"6,425","11,095","35,208",15,"5,877","30,084","130,893","4,835","17,637","60,976","35,522",350,207,,,9,,,,"418,908"
EE,23,0,10,3,827,0,2,,58,141,0,22,0,19,229,11,6,0,23,101,551,21,87,26,56,87,12,,,,,,,"2,315"
IE,108,2,147,9,"1,032",0,0,,663,"1,128",44,112,0,6,4,62,53,0,77,64,343,34,151,19,42,10,49,,,,,,,"4,159"
EL,182,791,160,68,"1,176",1,3,,573,"1,162",10,269,39,8,0,34,23,0,127,102,373,8,359,25,54,123,221,,,,,,,"5,891"
ES,"1,526",171,274,236,"11,775",18,38,169,0,"12,428",115,"3,822",0,16,61,347,224,18,796,"1,309","1,443","10,240","7,027",615,392,520,438,,,19,,,,"54,037"
FR,"23,292","1,189",931,566,"20,853",227,156,173,"27,680",,262,"13,697",1,152,"2,262","15,529","1,953",5,"2,512","1,525","29,818","28,421",6,"1,753","4,043",187,445,,,36,,,,"177,674"
HR,87,17,71,10,"1,038",0,0,10,269,638,0,468,0,,0,16,315,0,24,347,571,30,31,"3,087",82,30,23,,,,,,,"7,164"
IT,"1,612",338,374,158,"11,498",188,48,105,"7,189","11,496","1,251",,5,113,95,465,846,13,995,"3,207","3,275","1,147","6,518","6,398","1,312",133,306,,,10,,,,"59,095"
CY,18,2,9,1,297,0,0,59,51,109,0,19,0,,0,11,7,4,4,3,31,0,3,5,7,6,70,,,,,,,716
LV,25,10,13,21,324,15,0,,42,114,12,20,0,,468,17,7,0,17,32,98,21,6,109,44,10,6,,,,,,,"1,431"
LT,57,21,25,28,417,5,1,1,93,171,11,92,0,36,0,15,50,0,3,31,"1,002",262,7,41,24,1,10,,,,,,,"2,404"
